lfdn;v_346;tag
144; using quantified textual requirements;
150; using quantified textual requirements;
291; using quantified textual requirements;
1484;#VALUE!;
317;(The same);
1423;ADAPTABILITY;
1424;adaptability;
1667;Adaptability and installation;
1159;Adaptability, installability;
1266;Because the system and block by subcases following standards, it is portable the majority of user needs;
952;before and after transformation;
1462;CONTRACT;
839;Delivering to mobile phones so must be portable;
1171;detailed in the TECHNICAL document of Development ;
1804;Diagrams;
785;following some guideline;
694;In Statement of Work (contract) + User Stories descriptions and acceptance criteria;
1349;In the contract and during the tender;
1140;install ability;
1355;It can be developed on any operating system;
1624;it should be part of the code and the design;
1756;list of supported browsers and screen resolution (latest projects were all web);
735;measurable textual requirements;
1416;MULTI-PLATFORM;
179;Natural language;
479;natural language (sentence patterns);
663;Natural Language / Informal Text;
79;Non functional requirements chapter at the end of each concerned story;
1759;non-quantified textual requirements;
239;Non-quantified textual requirements;
1455;Not Documented;
758;Not documented;
916;not measurable;
41;Not sure;
1744;Plain text;
1066;quantified text requirements;
985;Quantified textual requirements;
310;quantified textual requirements;
570;Quantified textual requirements;
182;Specific guidelines standard or practice;
754;Standards and parameters documented in wiki or shared repository;
1327;system specification in chapter non-functional requirements;
661;Text;
569;Text;
147;textual;
1402;Textual;
1111;textual;
1753;Textual;
412;Textual requirement and figures. Also part of the user guide for the system;
1911;textual requirements;
349;textual requirements;
750;Textual requirements and diagrams;
1699;The system must be able to be used on any device;
1188;unmeasurable textual requirements;
1918;unmeasurable textual requirements;
416;using non-quantified textual requirements;
278;using non-quantified textual requirements;
1291;using non-quantified textual requirements;
511;using non-quantified textual requirements;
1676;we document all these requirements on Confluence, on a page or space specific to what we're building.;
1076;What platforms are supported and which ones need to be active;
